"county","geo"
"Alpine","mountain"
"Calaveras","mountain"
"El Dorado","mountain"
"Fresno","mountain"
"Kern","mountain"
"Nevada","mountain"
"Placer","mountain"
"San Bernardino","mountain"
"San Joaquin","mountain"
"Siskiyou","mountain"
"Tuolumne","mountain"
"Alameda","coast"
"Amador",""
"Butte",""
"Colusa",""
"Contra Costa","coast"
"Del Norte","coast"
"Glenn",""
"Humboldt","coast"
"Imperial",""
"Inyo",""
"Kings",""
"Lake",""
"Lassen",""
"Los Angeles","coast"
"Madera",""
"Marin","coast"
"Mariposa",""
"Mendocino","coast"
"Merced",""
"Modoc",""
"Mono",""
"Monterey","coast"
"Napa","coast"
"Orange","coast"
"Plumas",""
"Riverside",""
"Sacramento",""
"San Benito","coast"
"San Diego","coast"
"San Francisco","coast"
"San Luis Obispo","coast"
"San Mateo","coast"
"Santa Barbara","coast"
"Santa Clara","coast"
"Santa Cruz","coast"
"Shasta",""
"Sierra",""
"Solano","coast"
"Sonoma","coast"
"Stanislaus",""
"Sutter",""
"Tehama",""
"Trinity",""
"Tulare",""
"Ventura","coast"
"Yolo",""
"Yuba",""
