"fips","county","CBSA.title","metro_code","metro","metro_class"
"1","Alameda","San Francisco-Oakland-Hayward, CA",1,"city","Large central metro"
"3","Alpine",NA,6,"rural","Noncore"
"5","Amador",NA,6,"rural","Noncore"
"7","Butte","Chico, CA",4,"rural","Small metro"
"9","Calaveras",NA,6,"rural","Noncore"
"11","Colusa",NA,6,"rural","Noncore"
"13","Contra Costa","San Francisco-Oakland-Hayward, CA",2,"city","Large fringe metro"
"15","Del Norte","Crescent City, CA",5,"rural","Micropolitan"
"17","El Dorado","Sacramento--Roseville--Arden-Arcade, CA",2,"city","Large fringe metro"
"19","Fresno","Fresno, CA",3,"city","Medium metro"
"21","Glenn",NA,6,"rural","Noncore"
"23","Humboldt","Eureka-Arcata-Fortuna, CA",5,"rural","Micropolitan"
"25","Imperial","El Centro, CA",4,"rural","Small metro"
"27","Inyo",NA,6,"rural","Noncore"
"29","Kern","Bakersfield, CA",3,"city","Medium metro"
"31","Kings","Hanford-Corcoran, CA",4,"rural","Small metro"
"33","Lake","Clearlake, CA",5,"rural","Micropolitan"
"35","Lassen","Susanville, CA",5,"rural","Micropolitan"
"37","Los Angeles","Los Angeles-Long Beach-Anaheim, CA",1,"city","Large central metro"
"39","Madera","Madera, CA",4,"rural","Small metro"
"41","Marin","San Francisco-Oakland-Hayward, CA",2,"city","Large fringe metro"
"43","Mariposa",NA,6,"rural","Noncore"
"45","Mendocino","Ukiah, CA",5,"rural","Micropolitan"
"47","Merced","Merced, CA",3,"city","Medium metro"
"49","Modoc",NA,6,"rural","Noncore"
"51","Mono",NA,6,"rural","Noncore"
"53","Monterey","Salinas, CA",3,"city","Medium metro"
"55","Napa","Napa, CA",4,"rural","Small metro"
"57","Nevada","Truckee-Grass Valley, CA",5,"rural","Micropolitan"
"59","Orange","Los Angeles-Long Beach-Anaheim, CA",1,"city","Large central metro"
"61","Placer","Sacramento--Roseville--Arden-Arcade, CA",2,"city","Large fringe metro"
"63","Plumas",NA,6,"rural","Noncore"
"65","Riverside","Riverside-San Bernardino-Ontario, CA",1,"city","Large central metro"
"67","Sacramento","Sacramento--Roseville--Arden-Arcade, CA",1,"city","Large central metro"
"69","San Benito","San Jose-Sunnyvale-Santa Clara, CA",2,"city","Large fringe metro"
"71","San Bernardino","Riverside-San Bernardino-Ontario, CA",2,"city","Large fringe metro"
"73","San Diego","San Diego-Carlsbad, CA",1,"city","Large central metro"
"75","San Francisco","San Francisco-Oakland-Hayward, CA",1,"city","Large central metro"
"77","San Joaquin","Stockton-Lodi, CA",3,"city","Medium metro"
"79","San Luis Obispo","San Luis Obispo-Paso Robles-Arroyo Grande",3,"city","Medium metro"
"81","San Mateo","San Francisco-Oakland-Hayward, CA",2,"city","Large fringe metro"
"83","Santa Barbara","Santa Maria-Santa Barbara, CA",3,"city","Medium metro"
"85","Santa Clara","San Jose-Sunnyvale-Santa Clara, CA",1,"city","Large central metro"
"87","Santa Cruz","Santa Cruz-Watsonville, CA",3,"city","Medium metro"
"89","Shasta","Redding, CA",4,"rural","Small metro"
"91","Sierra",NA,6,"rural","Noncore"
"93","Siskiyou",NA,6,"rural","Noncore"
"95","Solano","Vallejo-Fairfield, CA",3,"city","Medium metro"
"97","Sonoma","Santa Rosa, CA",3,"city","Medium metro"
"99","Stanislaus","Modesto, CA",3,"city","Medium metro"
"101","Sutter","Yuba City, CA",4,"rural","Small metro"
"103","Tehama","Red Bluff, CA",5,"rural","Micropolitan"
"105","Trinity",NA,6,"rural","Noncore"
"107","Tulare","Visalia-Porterville, CA",3,"city","Medium metro"
"109","Tuolumne","Sonora, CA",5,"rural","Micropolitan"
"111","Ventura","Oxnard-Thousand Oaks-Ventura, CA",3,"city","Medium metro"
"113","Yolo","Sacramento--Roseville--Arden-Arcade, CA",2,"city","Large fringe metro"
"115","Yuba","Yuba City, CA",4,"rural","Small metro"
