"county","div_index","rec_area","night_area","ent_area","health_rank"
"Alameda",0.740399,2.17344430548967,1.69908146103756,0.298296665165037,"9"
"Alpine",0.491441,1.50621789530309,0.239433797082494,0.0013455690411475,"NR"
"Amador",0.340126,0.718347071213763,0.20332874727576,0.00825136972737474,"18"
"Butte",0.423592,0.697546169810606,0.15702155783908,0.0107326206078241,"32"
"Calaveras",0.305176,0.664369160331936,0.107643709382105,0,"22"
"Colusa",0.527825,0.627266941191807,0.107356200203977,0.000864782593655955,"37"
"Contra Costa",0.686497,0.521116275326452,0.0870895903056845,0.150540577528397,"8"
"Del Norte",0.552126,0.520945800043187,0.0742280285035629,0.000813180021793225,"49"
"El Dorado",0.355694,0.336524014070814,0.0722543352601156,0.01287534427551,"7"
"Fresno",0.618892,0.305485456235888,0.0559974965825057,0.007486026084642,"53"
"Glenn",0.550859,0.21740204555561,0.0397267681170615,0.00150718172090009,"45"
"Humboldt",0.400875,0.190909191229212,0.0371538731160182,0.00345486222502998,"30"
"Imperial",0.311687,0.163468243689945,0.0338086670932998,0.000892514481047455,"56"
"Inyo",0.523314,0.154924640729057,0.0288469696541192,0.000586687474515763,"25"
"Kern",0.596651,0.152719251110043,0.023999492840906,0.00441033783187792,"57"
"Kings",0.59646,0.151751128149834,0.0204662340148809,0.00359316723318937,"48"
"Lake",0.43342,0.117933500722818,0.017970528333533,0.00150441545937326,"52"
"Lassen",0.514288,0.117067159581023,0.0166086990503732,0.000847436082133505,"42"
"Los Angeles",0.661865,0.116855594213998,0.0152172258997185,2.88721810841644,"34"
"Madera",0.552329,0.103786992943032,0.0145153968773423,0.0046440994394572,"51"
"Marin",0.442392,0.0854574438363819,0.0143766687204765,0.171458240258878,"1"
"Mariposa",0.318022,0.0849974598460276,0.0131176474095628,0.00136722221462654,"28"
"Mendocino",0.48984,0.0733334826126873,0.0121860717307782,0.00412568911901066,"38"
"Merced",0.576306,0.0625481647260021,0.0106467926537131,0.00353801598172362,"54"
"Modoc",0.372207,0.0578368999421631,0.00940382514416894,0.000237902650235524,"35"
"Mono",0.482499,0.0497849566456003,0.00895676123513738,0.000957891106938963,"21"
"Monterey",0.569329,0.042420814479638,0.00789682794292568,0.0143189737008183,"31"
"Napa",0.583815,0.0405704254856519,0.0077662664450692,0.0228258388495777,"12"
"Nevada",0.252753,0.0357248256473183,0.0075220772968663,0.0205380981721093,"15"
"Orange",0.663094,0.0333584363991084,0.00707603196344724,0.578016391194743,"6"
"Placer",0.417471,0.0280546570730741,0.00662915449111959,0.0246262795681749,"3"
"Plumas",0.279941,0.0279671723260008,0.0066010957818998,0.000382638907489391,"29"
"Riverside",0.624784,0.0258146922903601,0.00649299736359805,0.0273844308556813,"39"
"Sacramento",0.687281,0.0253594425332981,0.00541496696870149,0.112673789259773,"27"
"San Benito",0.527412,0.0246215535320938,0.00503043412646511,0.00431508770415759,"24"
"San Bernardino",0.624636,0.0233922992550852,0.0049739291503584,0.00631689002095516,"44"
"San Diego",0.650181,0.0195052176457202,0.00493023714440665,0.112690247653391,"20"
"San Francisco",0.679829,0.0194178946687091,0.00415863097868182,1.45327525982147,"5"
"San Joaquin",0.685223,0.0192485181108813,0.00385754101048287,0.0161233788994041,"43"
"San Luis Obispo",0.461168,0.0180529855124791,0.00382638907489391,0.0116164898839734,"10"
"San Mateo",0.691029,0.0165285692726711,0.00371527955156576,0.132260850788167,"2"
"Santa Barbara",0.583869,0.0155001911690244,0.00263802359272433,0.036420450346786,"17"
"Santa Clara",0.694312,0.0141820563465991,0.00259434778096786,0.131127930249143,"4"
"Santa Cruz",0.543935,0.0129717389048393,0.0024544148228805,0.0856432300673617,"13"
"Shasta",0.32551,0.0114791672246817,0.00226077258135013,0.00363880210634659,"36"
"Sierra",0.24407,0.00937140205099828,0.00218231699713181,0.00103927417091903,"26"
"Siskiyou",0.373131,0.00753590860450044,0.00202554208570069,0.000787731553690207,"33"
"Solano",0.725821,0.00641421660471884,0.00186002294028293,0.0275880334146261,"23"
"Sonoma",0.505207,0.00615249996581944,0.00143836256805253,0.055997058740349,"11"
"Stanislaus",0.6011,0.00542804960598746,0.00141791679664237,0.0125438208478302,"41"
"Sutter",0.647059,0.00538227616459001,0.00136722221462654,0.00328682476293776,"40"
"Tehama",0.449472,0.00488393563287928,0.00127115412320026,0.0016879517380839,"47"
"Trinity",0.300837,0.00406590010896612,0.00103927417091903,0.000623519142037661,"46"
"Tulare",0.512942,0.00342935528120713,0.000813180021793225,0.00289336901821789,"55"
"Tuolumne",0.319478,0.00254231238956831,0.000319297035646321,0.0039570353890865,"19"
"Ventura",0.596774,0.00105929510266688,0.000195562491505254,0.123167208542008,"16"
"Yolo",0.642001,0.000237902650235524,0,0.0156317167532924,"14"
"Yuba",0.590487,0,0,0.00931951973408304,"50"
"CA Average",0.516,0.352,0.175,0.23,"NA"
