"fipscty","naics","est"
"001","------",39242
"001","11----",15
"001","113///",1
"001","1133//",1
"001","11331/",1
"001","113310",1
"001","114///",2
"001","1141//",2
"001","11411/",2
"001","114111",2
"001","115///",12
"001","1151//",4
"001","11511/",4
"001","115112",2
"001","115114",1
"001","115116",1
"001","1152//",8
"001","11521/",8
"001","115210",8
"001","21----",9
"001","212///",5
"001","2123//",5
"001","21231/",2
"001","212312",1
"001","212319",1
"001","21232/",3
"001","212321",3
"001","213///",4
"001","2131//",4
"001","21311/",4
"001","213112",3
"001","213114",1
"001","22----",21
"001","221///",21
"001","2211//",17
"001","22111/",11
"001","221111",1
"001","221112",3
"001","221114",2
"001","221115",2
"001","221118",3
"001","22112/",6
"001","221122",6
"001","2212//",1
"001","22121/",1
"001","221210",1
"001","2213//",3
"001","22131/",3
"001","221310",3
"001","23----",2819
"001","236///",1043
"001","2361//",867
"001","23611/",867
"001","236115",178
"001","236116",10
"001","236117",23
"001","236118",656
"001","2362//",176
"001","23621/",13
"001","236210",13
"001","23622/",163
"001","236220",163
"001","237///",123
"001","2371//",47
"001","23711/",29
"001","237110",29
"001","23712/",2
"001","237120",2
"001","23713/",16
"001","237130",16
"001","2372//",22
"001","23721/",22
"001","237210",22
"001","2373//",39
"001","23731/",39
"001","237310",39
"001","2379//",15
"001","23799/",15
"001","237990",15
"001","238///",1653
"001","2381//",291
"001","23811/",36
"001","238110",36
"001","23812/",15
"001","238120",15
"001","23813/",34
"001","238130",34
"001","23814/",33
"001","238140",33
"001","23815/",38
"001","238150",38
"001","23816/",115
"001","238160",115
"001","23817/",9
"001","238170",9
"001","23819/",11
"001","238190",11
"001","2382//",700
"001","23821/",313
"001","238210",313
"001","23822/",343
"001","238220",343
"001","23829/",44
"001","238290",44
"001","2383//",492
"001","23831/",76
"001","238310",76
"001","23832/",163
"001","238320",163
"001","23833/",70
"001","238330",70
"001","23834/",46
"001","238340",46
"001","23835/",94
"001","238350",94
"001","23839/",43
"001","238390",43
"001","2389//",170
"001","23891/",79
"001","238910",79
"001","23899/",91
"001","238990",91
"001","31----",1819
"001","311///",214
"001","3111//",6
"001","31111/",6
"001","311111",3
"001","311119",3
"001","3112//",3
"001","31121/",1
"001","311211",1
"001","31123/",2
"001","311230",2
"001","3113//",20
"001","31131/",1
"001","311314",1
"001","31134/",4
"001","311340",4
"001","31135/",15
"001","311351",6
"001","311352",9
"001","3114//",13
"001","31141/",7
"001","311412",7
"001","31142/",6
"001","311421",5
"001","311423",1
"001","3115//",12
"001","31151/",7
"001","311511",5
"001","311512",1
"001","311513",1
"001","31152/",5
"001","311520",5
"001","3116//",16
"001","31161/",16
"001","311611",2
"001","311612",12
"001","311615",2
"001","3117//",1
"001","31171/",1
"001","311710",1
"001","3118//",98
"001","31181/",86
"001","311811",56
"001","311812",29
"001","311813",1
"001","31182/",7
"001","311821",4
"001","311824",3
"001","31183/",5
"001","311830",5
"001","3119//",45
"001","31191/",3
"001","311911",1
"001","311919",2
"001","31192/",16
"001","311920",16
"001","31193/",1
"001","311930",1
"001","31194/",6
"001","311941",4
"001","311942",2
"001","31199/",19
"001","311991",14
"001","311999",5
"001","312///",79
"001","3121//",79
"001","31211/",10
"001","312111",5
"001","312112",3
"001","312113",2
"001","31212/",18
"001","312120",18
"001","31213/",44
"001","312130",44
"001","31214/",7
"001","312140",7
"001","313///",6
"001","3131//",1
"001","31311/",1
"001","313110",1
"001","3132//",2
"001","31321/",1
"001","313210",1
"001","31322/",1
"001","313220",1
"001","3133//",3
"001","31331/",3
"001","313310",3
"001","314///",15
"001","3141//",3
"001","31411/",1
"001","314110",1
"001","31412/",2
"001","314120",2
"001","3149//",12
"001","31491/",6
"001","314910",6
"001","31499/",6
"001","314999",6
"001","315///",35
"001","3151//",1
"001","31519/",1
"001","315190",1
"001","3152//",30
"001","31521/",25
"001","315210",25
"001","31524/",4
"001","315240",4
"001","31528/",1
"001","315280",1
"001","3159//",4
"001","31599/",4
"001","315990",4
"001","316///",5
"001","3161//",1
"001","31611/",1
"001","316110",1
"001","3169//",4
"001","31699/",4
"001","316992",1
"001","316998",3
"001","321///",42
"001","3212//",4
"001","32121/",4
"001","321211",1
"001","321213",2
"001","321219",1
"001","3219//",38
"001","32191/",13
"001","321911",10
"001","321918",3
"001","32192/",10
"001","321920",10
"001","32199/",15
"001","321992",1
"001","321999",14
"001","322///",24
"001","3221//",1
"001","32213/",1
"001","322130",1
"001","3222//",23
"001","32221/",15
"001","322211",7
"001","322212",3
"001","322219",5
"001","32222/",4
"001","322220",4
"001","32223/",2
"001","322230",2
"001","32229/",2
"001","322299",2
"001","323///",167
"001","3231//",167
"001","32311/",151
"001","323111",119
"001","323113",25
"001","323117",7
"001","32312/",16
"001","323120",16
"001","324///",9
"001","3241//",9
"001","32412/",7
"001","324121",5
"001","324122",2
"001","32419/",2
"001","324191",2
"001","325///",83
"001","3251//",9
"001","32512/",3
"001","325120",3
"001","32518/",4
"001","325180",4
"001","32519/",2
"001","325199",2
"001","3252//",1
"001","32521/",1
"001","325211",1
"001","3253//",1
"001","32532/",1
"001","325320",1
"001","3254//",25
"001","32541/",25
"001","325411",6
"001","325412",10
"001","325413",4
"001","325414",5
"001","3255//",11
"001","32551/",7
"001","325510",7
"001","32552/",4
"001","325520",4
"001","3256//",18
"001","32561/",10
"001","325611",8
"001","325612",2
"001","32562/",8
"001","325620",8
"001","3259//",18
"001","32591/",3
"001","325910",3
"001","32599/",15
"001","325991",2
"001","325992",2
"001","325998",11
"001","326///",70
"001","3261//",65
"001","32611/",12
"001","326111",7
"001","326112",3
"001","326113",2
"001","32614/",1
"001","326140",1
"001","32615/",5
"001","326150",5
"001","32616/",1
"001","326160",1
"001","32619/",46
"001","326191",4
"001","326199",42
"001","3262//",5
"001","32629/",5
"001","326291",5
"001","327///",59
"001","3271//",4
"001","32711/",3
"001","327110",3
"001","32712/",1
"001","327120",1
"001","3272//",14
"001","32721/",14
"001","327211",1
"001","327212",6
"001","327215",7
"001","3273//",26
"001","32731/",2
"001","327310",2
"001","32732/",14
"001","327320",14
"001","32733/",1
"001","327331",1
"001","32739/",9
"001","327390",9
"001","3279//",15
"001","32799/",15
"001","327991",9
"001","327992",1
"001","327993",3
"001","327999",2
"001","331///",21
"001","3311//",1
"001","33111/",1
"001","331110",1
"001","3313//",1
"001","33131/",1
"001","331313",1
"001","3314//",5
"001","33141/",1
"001","331410",1
"001","33142/",1
"001","331420",1
"001","33149/",3
"001","331491",2
"001","331492",1
"001","3315//",14
"001","33151/",9
"001","331511",4
"001","331513",5
"001","33152/",5
"001","331523",3
"001","331524",1
"001","331529",1
"001","332///",327
"001","3321//",9
"001","33211/",9
"001","332111",4
"001","332119",5
"001","3322//",2
"001","33221/",2
"001","332216",2
"001","3323//",77
"001","33231/",17
"001","332311",3
"001","332312",12
"001","332313",2
"001","33232/",60
"001","332321",3
"001","332322",40
"001","332323",17
"001","3324//",4
"001","33241/",1
"001","332410",1
"001","33242/",1
"001","332420",1
"001","33243/",2
"001","332439",2
"001","3325//",1
"001","33251/",1
"001","332510",1
"001","3326//",6
"001","33261/",6
"001","332613",3
"001","332618",3
"001","3327//",161
"001","33271/",134
"001","332710",134
"001","33272/",27
"001","332721",21
"001","332722",6
"001","3328//",35
"001","33281/",35
"001","332811",5
"001","332812",12
"001","332813",18
"001","3329//",32
"001","33291/",5
"001","332911",1
"001","332912",1
"001","332913",2
"001","332919",1
"001","33299/",27
"001","332996",4
"001","332999",23
"001","333///",114
"001","3331//",2
"001","33311/",1
"001","333111",1
"001","33313/",1
"001","333131",1
"001","3332//",33
"001","33324/",33
"001","333241",3
"001","333242",17
"001","333243",1
"001","333244",3
"001","333249",9
"001","3333//",19
"001","33331/",19
"001","333314",6
"001","333316",3
"001","333318",10
"001","3334//",9
"001","33341/",9
"001","333413",3
"001","333414",5
"001","333415",1
"001","3335//",22
"001","33351/",22
"001","333511",3
"001","333514",6
"001","333515",3
"001","333517",9
"001","333519",1
"001","3336//",5
"001","33361/",5
"001","333611",3
"001","333612",2
"001","3339//",24
"001","33391/",2
"001","333911",2
"001","33392/",7
"001","333922",3
"001","333923",2
"001","333924",2
"001","33399/",15
"001","333991",2
"001","333993",4
"001","333995",1
"001","333999",8
"001","334///",221
"001","3341//",25
"001","33411/",25
"001","334111",13
"001","334112",2
"001","334118",10
"001","3342//",21
"001","33421/",9
"001","334210",9
"001","33422/",10
"001","334220",10
"001","33429/",2
"001","334290",2
"001","3343//",11
"001","33431/",11
"001","334310",11
"001","3344//",81
"001","33441/",81
"001","334412",10
"001","334413",38
"001","334417",1
"001","334418",20
"001","334419",12
"001","3345//",75
"001","33451/",75
"001","334510",11
"001","334512",5
"001","334513",6
"001","334515",21
"001","334516",18
"001","334517",4
"001","334519",10
"001","3346//",8
"001","33461/",8
"001","334613",2
"001","334614",6
"001","335///",58
"001","3351//",20
"001","33511/",2
"001","335110",2
"001","33512/",18
"001","335121",6
"001","335122",6
"001","335129",6
"001","3352//",1
"001","33522/",1
"001","335221",1
"001","3353//",16
"001","33531/",16
"001","335311",2
"001","335312",5
"001","335313",4
"001","335314",5
"001","3359//",21
"001","33591/",5
"001","335911",4
"001","335912",1
"001","33592/",6
"001","335921",3
"001","335929",3
"001","33599/",10
"001","335991",1
"001","335999",9
"001","336///",46
"001","3361//",5
"001","33611/",3
"001","336111",1
"001","336112",2
"001","33612/",2
"001","336120",2
"001","3362//",6
"001","33621/",6
"001","336211",6
"001","3363//",18
"001","33631/",4
"001","336310",4
"001","33632/",3
"001","336320",3
"001","33633/",1
"001","336330",1
"001","33634/",1
"001","336340",1
"001","33635/",3
"001","336350",3
"001","33636/",3
"001","336360",3
"001","33637/",1
"001","336370",1
"001","33639/",2
"001","336390",2
"001","3364//",7
"001","33641/",7
"001","336412",3
"001","336413",4
"001","3366//",4
"001","33661/",4
"001","336611",4
"001","3369//",6
"001","33699/",6
"001","336991",5
"001","336999",1
"001","337///",62
"001","3371//",36
"001","33711/",20
"001","337110",20
"001","33712/",16
"001","337121",5
"001","337122",7
"001","337124",1
"001","337125",3
"001","3372//",22
"001","33721/",22
"001","337211",11
"001","337212",6
"001","337214",2
"001","337215",3
"001","3379//",4
"001","33791/",3
"001","337910",3
"001","33792/",1
"001","337920",1
"001","339///",162
"001","3391//",72
"001","33911/",72
"001","339112",19
"001","339113",10
"001","339114",4
"001","339115",5
"001","339116",34
"001","3399//",90
"001","33991/",12
"001","339910",12
"001","33992/",9
"001","339920",9
"001","33993/",5
"001","339930",5
"001","33994/",6
"001","339940",6
"001","33995/",25
"001","339950",25
"001","33999/",33
"001","339991",2
"001","339992",3
"001","339999",28
"001","42----",2625
"001","423///",1597
"001","4231//",114
"001","42311/",24
"001","423110",24
"001","42312/",76
"001","423120",76
"001","42313/",12
"001","423130",12
"001","42314/",2
"001","423140",2
"001","4232//",97
"001","42321/",47
"001","423210",47
"001","42322/",50
"001","423220",50
"001","4233//",90
"001","42331/",32
"001","423310",32
"001","42332/",24
"001","423320",24
"001","42333/",12
"001","423330",12
"001","42339/",22
"001","423390",22
"001","4234//",314
"001","42341/",10
"001","423410",10
"001","42342/",40
"001","423420",40
"001","42343/",157
"001","423430",157
"001","42344/",32
"001","423440",32
"001","42345/",44
"001","423450",44
"001","42346/",8
"001","423460",8
"001","42349/",23
"001","423490",23
"001","4235//",60
"001","42351/",60
"001","423510",60
"001","4236//",318
"001","42361/",121
"001","423610",121
"001","42362/",27
"001","423620",27
"001","42369/",170
"001","423690",170
"001","4237//",118
"001","42371/",49
"001","423710",49
"001","42372/",34
"001","423720",34
"001","42373/",24
"001","423730",24
"001","42374/",11
"001","423740",11
"001","4238//",286
"001","42381/",20
"001","423810",20
"001","42382/",16
"001","423820",16
"001","42383/",153
"001","423830",153
"001","42384/",60
"001","423840",60
"001","42385/",25
"001","423850",25
"001","42386/",12
"001","423860",12
"001","4239//",200
"001","42391/",36
"001","423910",36
"001","42392/",23
"001","423920",23
"001","42393/",52
"001","423930",52
"001","42394/",29
"001","423940",29
"001","42399/",60
"001","423990",60
"001","424///",806
"001","4241//",66
"001","42411/",8
"001","424110",8
"001","42412/",19
"001","424120",19
"001","42413/",39
"001","424130",39
"001","4242//",55
"001","42421/",55
"001","424210",55
"001","4243//",78
"001","42431/",14
"001","424310",14
"001","42432/",16
"001","424320",16
"001","42433/",36
"001","424330",36
"001","42434/",12
"001","424340",12
"001","4244//",332
"001","42441/",37
"001","424410",37
"001","42442/",27
"001","424420",27
"001","42443/",13
"001","424430",13
"001","42444/",4
"001","424440",4
"001","42445/",22
"001","424450",22
"001","42446/",14
"001","424460",14
"001","42447/",20
"001","424470",20
"001","42448/",32
"001","424480",32
"001","42449/",163
"001","424490",163
"001","4245//",8
"001","42451/",7
"001","424510",7
"001","42452/",1
"001","424520",1
"001","4246//",66
"001","42461/",15
"001","424610",15
"001","42469/",51
"001","424690",51
"001","4247//",6
"001","42471/",3
"001","424710",3
"001","42472/",3
"001","424720",3
"001","4248//",43
"001","42481/",9
"001","424810",9
"001","42482/",34
"001","424820",34
"001","4249//",152
"001","42491/",13
"001","424910",13
"001","42492/",14
"001","424920",14
"001","42493/",11
"001","424930",11
"001","42494/",7
"001","424940",7
"001","42495/",11
"001","424950",11
"001","42499/",96
"001","424990",96
"001","425///",222
"001","4251//",222
"001","42511/",9
"001","425110",9
"001","42512/",213
"001","425120",213
"001","44----",4347
"001","441///",371
"001","4411//",132
"001","44111/",75
"001","441110",75
"001","44112/",57
"001","441120",57
"001","4412//",41
"001","44121/",8
"001","441210",8
"001","44122/",33
"001","441222",14
"001","441228",19
"001","4413//",198
"001","44131/",109
"001","441310",109
"001","44132/",89
"001","441320",89
"001","442///",241
"001","4421//",109
"001","44211/",109
"001","442110",109
"001","4422//",132
"001","44221/",51
"001","442210",51
"001","44229/",81
"001","442291",9
"001","442299",72
"001","443///",179
"001","4431//",179
"001","44314/",179
"001","443141",28
"001","443142",151
"001","444///",286
"001","4441//",238
"001","44411/",21
"001","444110",21
"001","44412/",27
"001","444120",27
"001","44413/",54
"001","444130",54
"001","44419/",136
"001","444190",136
"001","4442//",48
"001","44421/",6
"001","444210",6
"001","44422/",42
"001","444220",42
"001","445///",797
"001","4451//",472
"001","44511/",372
"001","445110",372
"001","44512/",100
"001","445120",100
"001","4452//",133
"001","44521/",33
"001","445210",33
"001","44522/",9
"001","445220",9
"001","44523/",16
"001","445230",16
"001","44529/",75
"001","445291",14
"001","445292",18
"001","445299",43
"001","4453//",192
"001","44531/",192
"001","445310",192
"001","446///",407
"001","4461//",407
"001","44611/",171
"001","446110",171
"001","44612/",100
"001","446120",100
"001","44613/",47
"001","446130",47
"001","44619/",89
"001","446191",50
"001","446199",39
"001","447///",289
"001","4471//",289
"001","44711/",230
"001","447110",230
"001","44719/",59
"001","447190",59
"001","448///",660
"001","4481//",451
"001","44811/",39
"001","448110",39
"001","44812/",149
"001","448120",149
"001","44813/",36
"001","448130",36
"001","44814/",141
"001","448140",141
"001","44815/",32
"001","448150",32
"001","44819/",54
"001","448190",54
"001","4482//",126
"001","44821/",126
"001","448210",126
"001","4483//",83
"001","44831/",75
"001","448310",75
"001","44832/",8
"001","448320",8
"001","451///",226
"001","4511//",178
"001","45111/",96
"001","451110",96
"001","45112/",44
"001","451120",44
"001","45113/",21
"001","451130",21
"001","45114/",17
"001","451140",17
"001","4512//",48
"001","45121/",48
"001","451211",43
"001","451212",5
"001","452///",101
"001","4521//",38
"001","45211/",38
"001","452111",12
"001","452112",26
"001","4529//",63
"001","45291/",6
"001","452910",6
"001","45299/",57
"001","452990",57
"001","453///",433
"001","4531//",47
"001","45311/",47
"001","453110",47
"001","4532//",123
"001","45321/",28
"001","453210",28
"001","45322/",95
"001","453220",95
"001","4533//",96
"001","45331/",96
"001","453310",96
"001","4539//",167
"001","45391/",55
"001","453910",55
"001","45392/",19
"001","453920",19
"001","45393/",1
"001","453930",1
"001","45399/",92
"001","453991",35
"001","453998",57
"001","454///",357
"001","4541//",260
"001","45411/",260
"001","454111",232
"001","454112",1
"001","454113",27
"001","4542//",11
"001","45421/",11
"001","454210",11
"001","4543//",86
"001","45431/",3
"001","454310",3
"001","45439/",83
"001","454390",83
"001","48----",1066
"001","481///",17
"001","4811//",11
"001","48111/",11
"001","481111",9
"001","481112",2
"001","4812//",6
"001","48121/",6
"001","481211",4
"001","481219",2
"001","483///",16
"001","4831//",15
"001","48311/",15
"001","483111",9
"001","483113",5
"001","483114",1
"001","4832//",1
"001","48321/",1
"001","483211",1
"001","484///",462
"001","4841//",311
"001","48411/",208
"001","484110",208
"001","48412/",103
"001","484121",67
"001","484122",36
"001","4842//",151
"001","48421/",65
"001","484210",65
"001","48422/",58
"001","484220",58
"001","48423/",28
"001","484230",28
"001","485///",92
"001","4851//",5
"001","48511/",5
"001","485113",5
"001","4852//",2
"001","48521/",2
"001","485210",2
"001","4853//",40
"001","48531/",7
"001","485310",7
"001","48532/",33
"001","485320",33
"001","4854//",7
"001","48541/",7
"001","485410",7
"001","4855//",10
"001","48551/",10
"001","485510",10
"001","4859//",28
"001","48599/",28
"001","485991",13
"001","485999",15
"001","487///",8
"001","4871//",2
"001","48711/",2
"001","487110",2
"001","4872//",6
"001","48721/",6
"001","487210",6
"001","488///",249
"001","4881//",22
"001","48811/",9
"001","488119",9
"001","48819/",13
"001","488190",13
"001","4882//",5
"001","48821/",5
"001","488210",5
"001","4883//",14
"001","48831/",2
"001","488310",2
"001","48832/",9
"001","488320",9
