county,coast
"Alameda County, California",1
"Contra Costa County, California",1
"Del Norte County, California",1
"Humboldt County, California",1
"Los Angeles County, California",1
"Marin County, California",1
"Mendocino County, California",1
"Monterey County, California",1
"Napa County, California",1
"Orange County, California",1
"San Benito County, California",1
"San Diego County, California",1
"San Francisco, California",1
"San Luis Obispo County, California",1
"San Mateo County, California",1
"Santa Barbara County, California",1
"Santa Clara County, California",1
"Santa Cruz County, California",1
"Solano County, California",1
"Sonoma County, California",1
"Ventura County, California",1
