"","county","div_rank","rec_rank","health_rank","night_rank","ent_rank"
"1","Alameda",1,5,5,3,4
"2","Alpine",36,51,1,57,46
"3","Amador",49,31,22,32,28
"4","Butte",43,25,32,22,26
"5","Calaveras",54,32,16,39,58
"6","Colusa",30,44,23,44,52
"7","Contra Costa",6,6,4,8,7
"8","Del Norte",27,52,34,54,48
"9","El Dorado",48,24,10,26,23
"10","Fresno",16,28,48,24,29
"11","Glenn",28,47,38,45,44
"12","Humboldt",45,37,45,27,36
"13","Imperial",53,46,25,43,50
"14","Inyo",32,55,30,56,55
"15","Kern",19,34,49,33,33
"16","Kings",20,41,28,35,39
"17","Lake",42,40,54,28,43
"18","Lassen",33,56,31,52,51
"19","Los Angeles",10,4,17,4,2
"20","Madera",26,38,36,41,31
"21","Marin",41,9,2,11,5
"22","Mariposa",52,49,29,51,45
"23","Mendocino",37,42,40,34,32
"24","Merced",24,30,41,31,38
"25","Modoc",47,57,50,58,57
"26","Mono",38,50,8,55,49
"27","Monterey",25,27,15,30,21
"28","Napa",23,17,46,20,18
"29","Nevada",57,18,7,21,19
"30","Orange",9,2,55,2,3
"31","Placer",44,15,35,18,17
"32","Plumas",56,45,52,40,56
"33","Riverside",14,20,19,23,16
"34","Sacramento",5,8,26,6,12
"35","San Benito",31,39,12,49,34
"36","San Bernardino",15,33,37,36,30
"37","San Diego",11,10,3,9,10
"38","San Francisco",8,1,57,1,1
"39","San Joaquin",7,16,42,13,20
"40","San Luis Obispo",39,26,6,25,24
"41","San Mateo",4,3,13,5,6
"42","Santa Barbara",22,21,11,17,14
"43","Santa Clara",3,7,24,7,9
"44","Santa Cruz",29,11,9,10,11
"45","Shasta",50,36,43,38,37
"46","Sierra",58,58,21,53,47
"47","Siskiyou",46,53,53,50,53
"48","Solano",2,12,20,12,15
"49","Sonoma",35,14,56,14,13
"50","Stanislaus",17,19,33,16,25
"51","Sutter",12,22,27,37,40
"52","Tehama",40,48,39,47,42
"53","Trinity",55,54,51,46,54
"54","Tulare",34,43,47,48,41
"55","Tuolumne",51,35,18,42,35
"56","Ventura",18,13,58,15,8
"57","Yolo",13,23,14,19,22
"58","Yuba",21,29,44,29,27
