"county","fips","est","rank","score"
"Alameda",1,167,5,1
"Alpine",3,0,57,0
"Amador",5,4,46,0
"Butte",7,22,26,0
"Calaveras",9,4,47,0
"Colusa",11,3,48,0
"Contra Costa",13,70,10,1
"Del Norte",15,1,54,0
"El Dorado",17,16,29,0
"Fresno",19,64,11,1
"Glenn",21,3,49,0
"Humboldt",23,32,21,0
"Imperial",25,11,34,0
"Inyo",27,2,51,0
"Kern",29,53,14,1
"Kings",31,7,40,0
"Lake",33,10,35,0
"Lassen",35,6,42,0
"Los Angeles",37,746,1,1
"Madera",39,8,39,0
"Marin",41,28,23,0
"Mariposa",43,2,52,0
"Mendocino",45,21,27,0
"Merced",47,14,31,0
"Modoc",49,0,58,0
"Mono",51,1,55,0
"Monterey",53,25,25,0
"Napa",55,12,33,0
"Nevada",57,14,32,0
"Orange",59,227,4,1
"Placer",61,27,24,0
"Plumas",63,10,36,0
"Riverside",65,89,9,1
"Sacramento",67,107,7,1
"San Benito",69,2,53,0
"San Bernardino",71,100,8,1
"San Diego",73,327,3,1
"San Francisco",75,394,2,1
"San Joaquin",77,53,15,1
"San Luis Obispo",79,34,19,0
"San Mateo",81,55,12,1
"Santa Barbara",83,55,13,1
"Santa Clara",85,140,6,1
"Santa Cruz",87,34,20,0
"Shasta",89,16,30,0
"Sierra",91,1,56,0
"Siskiyou",93,9,37,0
"Solano",95,36,18,0
"Sonoma",97,51,17,1
"Stanislaus",99,31,22,0
"Sutter",101,3,50,0
"Tehama",103,6,43,0
"Trinity",105,7,41,0
"Tulare",107,9,38,0
"Tuolumne",109,6,44,0
"Ventura",111,53,16,1
"Yolo",113,17,28,0
"Yuba",115,5,45,0
