"county","fips","est","rank","score"
"Alameda",1,590,6,1
"Alpine",3,4,56,0
"Amador",5,17,48,0
"Butte",7,97,27,0
"Calaveras",9,29,41,0
"Colusa",11,15,50,0
"Contra Costa",13,534,7,1
"Del Norte",15,5,54,0
"El Dorado",17,131,25,1
"Fresno",19,255,14,1
"Glenn",21,10,52,0
"Humboldt",23,78,31,0
"Imperial",25,42,37,0
"Inyo",27,26,43,0
"Kern",29,207,19,1
"Kings",31,23,45,0
"Lake",33,24,44,0
"Lassen",35,5,55,0
"Los Angeles",37,3314,1,1
"Madera",39,42,38,0
"Marin",41,253,15,1
"Mariposa",43,9,53,0
"Mendocino",45,55,35,0
"Merced",47,66,33,0
"Modoc",49,1,57,0
"Mono",51,17,49,0
"Monterey",53,153,23,1
"Napa",55,93,28,0
"Nevada",57,114,26,1
"Orange",59,1428,3,1
"Placer",61,228,17,1
"Plumas",63,30,40,0
"Riverside",65,758,5,1
"Sacramento",67,518,9,1
"San Benito",69,27,42,0
"San Bernardino",71,519,8,1
"San Diego",73,1523,2,1
"San Francisco",75,504,10,1
"San Joaquin",77,221,18,1
"San Luis Obispo",79,180,20,1
"San Mateo",81,386,11,1
"Santa Barbara",83,237,16,1
"Santa Clara",85,818,4,1
"Santa Cruz",87,132,24,1
"Shasta",89,90,29,0
"Sierra",91,0,58,0
"Siskiyou",93,31,39,0
"Solano",95,173,22,1
"Sonoma",97,270,13,1
"Stanislaus",99,177,21,1
"Sutter",101,52,36,0
"Tehama",103,19,47,0
"Trinity",105,11,51,0
"Tulare",107,75,32,0
"Tuolumne",109,56,34,0
"Ventura",111,361,12,1
"Yolo",113,87,30,0
"Yuba",115,23,46,0
